fpid,name,team,pos,bye,ecr,adp,ecr_vs_adp,rank_std,fp_tier
9451,Matthew Stafford,LAR,QB,11,102,77.4,-24.6,14.23,8
25420,Makai Lemon,PHI,WR,10,103,92.3,-10.7,19.60,8
26148,Jonathon Brooks,CAR,RB,5,104,122.2,18.2,26.63,8
23020,Jayden Reed,GB,WR,11,105,85.7,-19.3,14.00,8
22969,Jordan Mason,MIN,RB,6,106,113.6,7.6,13.92,8
11594,Travis Kelce,KC,TE,5,107,135.4,28.4,10.88,8
15501,Jared Goff,DET,QB,6,108,107.7,-0.3,11.86,8
23891,Rachaad White,WAS,RB,7,109,112.3,3.3,13.12,8
19278,Michael Pittman Jr.,PIT,WR,9,110,93.4,-16.6,14.20,8
16673,Aaron Jones Sr.,MIN,RB,6,111,98.5,-12.5,13.26,8
17269,Mark Andrews,BAL,TE,13,112,132.5,20.5,18.76,8
17270,Dallas Goedert,PHI,TE,10,113,100.4,-12.6,15.74,8
23310,Kenny Gainwell,TB,RB,10,114,121.5,7.5,9.84,8
18598,Jakobi Meyers,JAC,WR,7,115,79.8,-35.2,16.46,8
18600,Kyler Murray,MIN,QB,6,116,151.8,35.8,10.99,8
23019,Xavier Worthy,KC,WR,5,117,87.4,-29.6,16.97,8
23781,Isaiah Likely,NYG,TE,8,118,132.4,14.4,27.29,8
24706,Josh Downs,IND,WR,13,119,111.0,-8.0,14.75,8
17237,Baker Mayfield,TB,QB,10,120,134.5,14.5,9.28,8
19246,Jordan Love,GB,QB,11,121,155.0,34.0,9.96,8
22986,Chris Rodriguez Jr.,JAC,RB,7,122,147.0,25.0,16.65,8
27077,Jayden Higgins,HOU,WR,8,123,131.3,8.3,13.23,8
22985,Wan'Dale Robinson,TEN,WR,9,124,100.7,-23.3,13.21,8
23096,Tyler Shough,NO,QB,8,125,146.5,21.5,11.99,8
22980,Tyrone Tracy Jr.,NYG,RB,8,126,158.8,32.8,8.14,9
22718,Jake Ferguson,DAL,TE,14,127,162.8,35.8,13.40,9
23794,Romeo Doubs,NE,WR,11,128,103.5,-24.5,18.33,9
24172,Tyler Allgeier,ARI,RB,14,129,149.8,20.8,13.63,9
27520,Woody Marks,HOU,RB,8,130,143.2,13.2,14.52,9
23499,Malik Willis,MIA,QB,6,131,164.3,33.3,27.19,9
26403,Jalen Coker,CAR,WR,5,132,121.9,-10.1,13.92,9
26024,Matthew Golden,GB,WR,11,133,109.5,-23.5,20.31,9
23152,Zach Charbonnet,SEA,RB,11,134,134.4,0.4,21.24,9
24687,Rashid Shaheed,SEA,WR,11,135,97.0,-38.0,13.71,9
27331,KC Concepcion,CLE,WR,11,136,125.8,-10.2,31.79,9
23748,Khalil Shakir,BUF,WR,7,137,115.4,-21.6,13.48,9
24333,Isiah Pacheco,DET,RB,6,138,152.1,14.1,13.14,9
17236,Sam Darnold,SEA,QB,11,139,153.1,14.1,13.48,9
23071,C.J. Stroud,HOU,QB,8,140,,,19.19,9
18244,Deebo Samuel Sr.,SF,WR,8,141,83.4,-57.6,33.19,9
22908,Tank Bigsby,PHI,RB,10,142,154.9,12.9,17.56,9
20094,Brian Robinson Jr.,ATL,RB,11,143,148.1,5.1,10.63,9
16421,Alvin Kamara,NO,RB,8,144,145.8,1.8,18.31,9
13981,Stefon Diggs,WAS,WR,7,145,90.9,-54.1,37.84,9
25345,Brenton Strange,JAC,TE,7,146,164.0,18.0,24.97,9
19562,Juwan Johnson,NO,TE,8,147,,,22.22,9
15561,Hunter Henry,NE,TE,11,148,153.7,5.7,21.03,9
25360,Keaton Mitchell,LAC,RB,7,149,156.9,7.9,21.71,9
25323,Tyjae Spears,TEN,RB,9,150,156.6,6.6,18.90,9
24755,Cam Ward,TEN,QB,9,151,,,19.90,9
27102,Dylan Sampson,CLE,RB,11,152,,,18.10,9
25997,Oronde Gadsden II,LAC,TE,7,153,,,32.74,9
19590,Jauan Jennings,MIN,WR,6,154,148.6,-5.4,26.57,9
8120,Houston Texans,HOU,DST,8,155,,,5.05,9
18232,Daniel Jones,IND,QB,13,156,142.6,-13.4,31.82,9
27320,Jonah Coleman,DEN,RB,10,157,,,36.15,9
23982,Chig Okonkwo,WAS,TE,7,158,,,29.82,9
24346,Braelon Allen,NYJ,RB,13,159,,,30.10,9
19201,Jerry Jeudy,CLE,WR,11,160,131.3,-28.7,20.41,10
24357,Adonai Mitchell,NYJ,WR,13,161,158.1,-2.9,26.96,10
23179,Jalen McMillan,TB,WR,10,162,140.2,-21.8,28.62,10
27339,Denzel Boston,CLE,WR,11,163,147.4,-15.6,34.69,10
25337,Tre Tucker,LV,WR,13,164,125.6,-38.4,27.98,10
28127,Omar Cooper Jr.,NYJ,WR,13,165,165.0,0.0,32.98,10
8090,Denver Broncos,DEN,DST,10,166,,,5.06,10
26034,Travis Hunter,JAC,WR,7,167,159.8,-7.2,30.85,10
22900,Bryce Young,CAR,QB,5,168,,,26.66,10
8280,Los Angeles Rams,LAR,DST,11,169,,,6.80,10
8260,Seattle Seahawks,SEA,DST,11,170,,,3.51,10
22989,Kayshon Boutte,NE,WR,11,171,156.7,-14.3,23.04,10
8230,Philadelphia Eagles,PHI,DST,10,172,,,8.95,10
28107,Emmett Johnson,KC,RB,5,173,,,37.62,10
28138,De'Zhaun Stribling,SF,WR,8,174,156.5,-17.5,44.62,10
25885,Emanuel Wilson,SEA,RB,11,175,,,32.58,10
26215,Tre' Harris,LAC,WR,7,176,165.8,-10.2,28.39,10
26355,Kimani Vidal,LAC,RB,7,177,,,32.45,10
26398,Ryan Flournoy,DAL,WR,14,178,,,27.99,10
26335,AJ Barner,SEA,TE,11,179,,,22.73,10
26191,Ray Davis,BUF,RB,7,180,167.0,-13.0,33.62,10
26068,Brandon Aubrey,DAL,K,14,181,131.2,-49.8,1.54,10
8180,New England Patriots,NE,DST,11,182,,,6.73,10
17258,Calvin Ridley,TEN,WR,9,183,108.4,-74.6,31.24,10
8240,Pittsburgh Steelers,PIT,DST,9,184,,,4.89,10
23679,Sean Tucker,TB,RB,10,185,,,38.64,10
8170,Minnesota Vikings,MIN,DST,6,186,,,7.99,10
8140,Jacksonville Jaguars,JAC,DST,7,187,,,12.83,10
16447,James Conner,ARI,RB,14,188,,,45.97,10
17349,Dalton Schultz,HOU,TE,8,189,,,28.47,10
24177,Jalen Nailor,LV,WR,13,190,149.2,-40.8,41.90,10
26055,Kenyon Sadiq,NYJ,TE,13,191,,,43.67,10
23091,Terrance Ferguson,LAR,TE,11,192,,,43.38,10
8250,Los Angeles Chargers,LAC,DST,7,193,,,11.35,10
28108,Mike Washington Jr.,LV,RB,13,194,,,37.11,10
23901,Cameron Dicker,LAC,K,7,195,145.8,-49.2,5.27,10
15756,Ka'imi Fairbairn,HOU,K,8,196,134.8,-61.2,1.84,10
24343,Nicholas Singleton,TEN,RB,9,197,,,42.66,10
19794,Rashod Bateman,BAL,WR,13,198,123.6,-74.4,28.92,10
26475,Cam Little,JAC,K,7,199,157.6,-41.4,8.72,11
8020,Baltimore Ravens,BAL,DST,13,200,,,17.27,11
23092,Troy Franklin,DEN,WR,10,201,,,36.34,11
19810,Darnell Mooney,NYG,WR,8,202,164.1,-37.9,23.77,11
14003,Jason Myers,SEA,K,11,203,134.8,-68.2,8.52,11
24354,Dontayvion Wicks,PHI,WR,10,204,,,28.38,11
27446,Isaac TeSlaa,DET,WR,6,205,,,26.65,11
15642,Jacoby Brissett,ARI,QB,14,206,,,37.73,11
8110,Green Bay Packers,GB,DST,11,207,,,21.26,11
24362,Kaytron Allen,WAS,RB,7,208,,,41.08,11
23118,MarShawn Lloyd,GB,RB,11,209,,,49.56,11
27122,Jaylin Noel,HOU,WR,8,210,,,29.73,11
18290,T.J. Hockenson,MIN,TE,6,211,,,19.92,11
17575,Eddy Pineiro,SF,K,8,212,,,6.96,11
27534,Tyler Loop,BAL,K,13,213,166.5,-46.5,9.13,11
24344,Jaydon Blue,DAL,RB,14,214,,,43.31,11
25987,Jaylen Wright,MIA,RB,6,215,,,26.95,11
27211,Pat Bryant,DEN,WR,10,216,,,32.97,11
26314,Malik Washington,MIA,WR,6,217,144.4,-72.6,38.72,11
8150,Kansas City Chiefs,KC,DST,5,218,,,18.10,11
8100,Detroit Lions,DET,DST,6,219,,,21.72,11
25361,Tank Dell,HOU,WR,8,220,139.2,-80.8,29.08,11
13731,Cairo Santos,CHI,K,10,221,160.0,-61.0,10.83,11
25984,Ollie Gordon II,MIA,RB,6,222,,,24.90,11
23297,Evan McPherson,CIN,K,6,223,169.7,-53.3,12.99,11
25418,Antonio Williams,WAS,WR,7,224,149.6,-74.4,44.63,11
27109,Gunnar Helm,TEN,TE,9,225,,,23.64,11
27291,Andy Borregales,NE,K,11,226,,,15.07,11
20163,Pat Freiermuth,PIT,TE,9,227,,,26.92,11
26075,Jake Bates,DET,K,6,228,154.9,-73.1,13.99,11
19058,Chase McLaughlin,TB,K,10,229,164.0,-65.0,16.20,11
16399,David Njoku,LAC,TE,7,230,,,25.35,11
16433,Cooper Kupp,SEA,WR,11,231,156.8,-74.2,33.37,11
8070,Cleveland Browns,CLE,DST,11,232,,,31.68,11
26638,Harrison Mevis,LAR,K,11,233,131.0,-102.0,18.57,11
11687,Geno Smith,NYJ,QB,13,234,,,32.39,11
8030,Buffalo Bills,BUF,DST,7,235,,,20.47,11
27315,Chimere Dike,TEN,WR,9,236,,,40.23,11
27059,Elic Ayomanor,TEN,WR,9,237,,,38.25,11
23153,Greg Dulcich,MIA,TE,6,238,,,44.16,11
23181,Cade Otton,TB,TE,10,239,,,20.88,11
26019,Keon Coleman,BUF,WR,7,240,,,34.58,11
25419,Zachariah Branch,ATL,WR,11,241,,,31.07,11
9001,Aaron Rodgers,PIT,QB,9,242,,,39.69,11
26039,Germie Bernard,PIT,WR,9,243,151.9,-91.1,33.75,11
22915,George Holani,SEA,RB,11,244,,,38.17,11
19372,Colby Parkinson,LAR,TE,11,245,,,24.81,11
28084,Demond Claiborne,MIN,RB,6,246,,,39.14,11
13029,Chris Boswell,PIT,K,9,247,151.9,-95.1,15.61,12
16712,Harrison Butker,KC,K,5,248,164.4,-83.6,21.40,12
26022,Tory Horton,SEA,WR,11,249,,,29.27,12
27310,Jordan James,SF,RB,8,250,,,38.59,12
16411,Evan Engram,DEN,TE,10,251,,,20.33,12
25977,Isaiah Davis,NYJ,RB,13,252,,,31.86,12
18256,Justice Hill,BAL,RB,13,253,168.6,-84.4,43.01,12
24205,Malik Davis,DAL,RB,14,254,,,30.88,12
28401,Kaelon Black,SF,RB,8,255,,,51.17,12
22913,Tyquan Thornton,KC,WR,5,256,,,35.36,12
18406,Ty Johnson,BUF,RB,7,257,,,35.98,12
25823,Chris Brooks,GB,RB,11,258,,,31.41,12
27463,Elijah Sarratt,BAL,WR,13,259,,,26.42,12
28013,Fernando Mendoza,LV,QB,13,260,,,34.82,12
23144,Eli Stowers,PHI,TE,10,261,,,38.11,12
27224,Jack Bech,LV,WR,13,262,,,26.25,12
17268,Christian Kirk,SF,WR,8,263,,,28.95,12
